"id","name","category_ids/id","price"
"__export__.mim_article_1","Bardage : + 30%","__export__.article_categorie_1","30000.0"
"__export__.mim_article_2","Bardage seulement","__export__.article_categorie_1","45000.0"
"__export__.mim_article_3","Compliqué","__export__.article_categorie_2","44000.0"
"__export__.mim_article_4","Double vitrage","__export__.article_categorie_5","55000.0"
"__export__.mim_article_5","Feuilleté 4.2.4","__export__.article_categorie_5","426972.0"
"__export__.mim_article_6","Granulat 4 mm","__export__.article_categorie_5","36000.0"
"__export__.mim_article_8","Mélamine 8 mm","__export__.article_categorie_5","26586.0"
"__export__.mim_article_9","Miroir 5 mm","__export__.article_categorie_5","33000.0"
"__export__.mim_article_33","Persienne","__export__.article_categorie_5","61000.0"
"__export__.mim_article_11","Plexiglass 4.5 mm","__export__.article_categorie_5","64000.0"
"__export__.mim_article_12","Poignée 3 pts Fen","__export__.article_categorie_3","40000.0"
"__export__.mim_article_13","Poignée encastrée + 3 pts / Serrure multipoints sans clef","__export__.article_categorie_3","60000.0"
"__export__.mim_article_14","Sans vitre","__export__.article_categorie_5","-25000.0"
"__export__.mim_article_15","Serrure porte coulissante (4 pts à clef)","__export__.article_categorie_4","200000.0"
"__export__.mim_article_34","Simple","__export__.article_categorie_2","22000.0"
"__export__.mim_article_16","Stadip 3.3.1","__export__.article_categorie_5","100000.0"
"__export__.mim_article_17","Stadip 4.4.2","__export__.article_categorie_5","120000.0"
"__export__.mim_article_35","Va et vient / Porte ouvrante 2VTX","__export__.article_categorie_4","480000.0"
"__export__.mim_article_18","Vitre antélio bleu 5 mm","__export__.article_categorie_5","53000.0"
"__export__.mim_article_19","Vitre antélio gris 5 mm","__export__.article_categorie_5","50000.0"
"__export__.mim_article_20","Vitre antélio marron 5 mm","__export__.article_categorie_5","50000.0"
"__export__.mim_article_21","Vitre antélio marron 6 mm","__export__.article_categorie_5","53000.0"
"__export__.mim_article_22","Vitre cathédrale 5 mm","__export__.article_categorie_5","36000.0"
"__export__.mim_article_23","Vitre claire 5 mm + Passe document","__export__.article_categorie_5","64675.0"
"__export__.mim_article_24","Vitre claire 5 mm + Passe document + Parloire","__export__.article_categorie_5","69675.0"
"__export__.mim_article_25","Vitre claire 6 mm","__export__.article_categorie_5","40000.0"
"__export__.mim_article_26","Vitre claire 6 mm + Passe document","__export__.article_categorie_5","71030.0"
"__export__.mim_article_27","Vitre claire 6 mm + Passe document + Parloire","__export__.article_categorie_5","76030.0"
"__export__.mim_article_28","Vitre claire 8 mm","__export__.article_categorie_5","52000.0"
"__export__.mim_article_30","Vitre fumée marron","__export__.article_categorie_5","35000.0"
"__export__.mim_article_38","Vitre fumé marron 6 mm","__export__.article_categorie_5","38000.0"
"__export__.mim_article_31","Vitre gris claire 5 mm","__export__.article_categorie_5","38000.0"
"__export__.mim_article_32","Vitre sablé","__export__.article_categorie_5","78000.0"
